DATE,Year,Month,Period,평균_최저기온,평균_최고기온,총_강수량,평균_풍속,평균_상대습도,평균_일사량,평균_지면온도,평균_최저초상온도
201801상순,2018,1,상순,-3.23,5.2,13.3,2.71,66.8,8.26,1.96,-6.18
201801중순,2018,1,중순,-5.69,5.93,31.0,1.5,79.29,9.55,2.57,-5.83
201801하순,2018,1,하순,-7.76,1.63,0.5,2.14,63.41,11.24,-0.29,-11.1
201802상순,2018,2,상순,-8.02,1.96,1.2,1.88,66.57,12.09,0.07,-11.49
201802중순,2018,2,중순,-5.01,7.06,1.4,2.63,57.61,11.69,2.37,-10.22
201802하순,2018,2,하순,-4.71,11.48,21.7,2.29,62.0,13.65,4.46,-9.62
201803상순,2018,3,상순,0.08,11.23,53.6,2.53,75.73,13.3,6.76,-3.86
201803중순,2018,3,중순,2.01,15.13,86.1,2.33,77.01,12.78,10.24,-1.81
201803하순,2018,3,하순,3.3,16.66,7.9,1.75,72.38,19.91,12.42,-1.59
201804상순,2018,4,상순,6.02,18.34,50.9,3.56,70.17,15.44,14.44,1.67
201804중순,2018,4,중순,3.71,19.44,22.3,2.52,64.9,20.09,14.81,-1.12
201804하순,2018,4,하순,9.32,20.63,46.9,2.18,79.96,16.65,17.12,5.66
201805상순,2018,5,상순,10.55,20.75,46.9,2.38,76.42,15.15,17.53,6.75
201805중순,2018,5,중순,14.48,24.27,18.3,2.53,76.97,15.08,20.41,10.9
201805하순,2018,5,하순,13.48,25.37,10.1,1.64,71.07,20.81,22.86,9.5
201806상순,2018,6,상순,15.36,28.16,2.2,1.6,71.86,21.28,26.61,11.7
201806중순,2018,6,중순,16.99,26.19,16.9,2.25,74.11,20.32,27.14,13.55
201806하순,2018,6,하순,19.92,27.91,219.8,2.11,80.12,15.9,26.52,17.57
201807상순,2018,7,상순,21.23,28.03,18.8,3.08,81.1,15.4,25.41,19.48
201807중순,2018,7,중순,21.81,32.92,0.0,1.44,81.02,25.7,32.73,18.8
201807하순,2018,7,하순,24.32,34.36,0.0,2.05,79.19,22.45,35.03,21.73
201808상순,2018,8,상순,24.64,34.27,5.6,2.01,80.45,19.43,34.32,22.42
201808중순,2018,8,중순,23.56,32.41,0.3,3.07,74.63,19.93,33.59,20.9
201808하순,2018,8,하순,22.78,30.4,198.3,2.71,86.14,14.8,27.75,21.1
201809상순,2018,9,상순,17.57,26.84,57.9,2.0,83.63,15.61,23.11,15.91
201809중순,2018,9,중순,17.96,26.69,59.3,2.03,84.63,13.75,22.98,16.22
201809하순,2018,9,하순,12.23,24.87,11.2,1.77,77.65,16.28,20.13,9.6
201810상순,2018,10,상순,11.78,21.85,208.7,2.61,75.02,13.96,18.31,9.24
201810중순,2018,10,중순,4.26,19.18,0.0,1.33,76.21,16.43,14.52,-0.05
201810하순,2018,10,하순,4.67,18.53,5.4,1.68,75.26,13.08,13.49,-0.04
201811상순,2018,11,상순,2.44,18.13,26.7,0.79,81.79,11.8,11.48,-1.99
201811중순,2018,11,중순,1.01,14.29,15.2,1.02,77.83,10.81,8.56,-3.67
201811하순,2018,11,하순,-0.83,13.89,2.7,1.04,76.02,10.69,7.18,-5.58
201812상순,2018,12,상순,0.41,9.22,28.8,1.15,69.41,7.97,5.73,-3.08
201812중순,2018,12,중순,-3.24,7.57,3.3,1.64,75.83,7.57,2.77,-7.62
201812하순,2018,12,하순,-3.86,5.44,3.9,2.03,70.1,9.45,2.23,-7.6
201901상순,2019,1,상순,-4.51,4.57,0.0,2.02,64.22,8.58,1.36,-9.08
201901중순,2019,1,중순,-4.73,6.82,3.3,1.87,74.17,10.68,2.43,-9.49
201901하순,2019,1,하순,-4.94,6.88,11.2,2.05,65.45,11.74,2.48,-10.53
201902상순,2019,2,상순,-3.66,7.37,6.2,2.38,66.63,10.79,3.31,-7.7
201902중순,2019,2,중순,-4.58,5.48,26.0,2.16,64.74,10.14,2.91,-9.93
201902하순,2019,2,하순,-1.15,12.04,1.3,1.89,73.0,14.65,5.54,-5.82
201903상순,2019,3,상순,0.17,12.86,27.6,2.17,74.9,13.03,8.08,-4.87
201903중순,2019,3,중순,-1.51,13.28,20.8,2.19,73.85,15.85,7.76,-6.75
201903하순,2019,3,하순,1.01,13.5,0.6,2.74,67.75,19.31,9.63,-3.05
201904상순,2019,4,상순,0.8,15.03,29.3,2.58,68.23,18.28,11.0,-3.49
201904중순,2019,4,중순,3.65,18.5,3.2,1.74,71.78,19.04,13.49,-0.1
201904하순,2019,4,하순,8.78,17.68,28.6,2.18,83.04,10.72,14.82,6.33
201905상순,2019,5,상순,4.14,23.18,0.0,2.01,61.28,24.65,17.67,-0.2
