DATE,Year,Month,Period,평균_검색량
201701상순,2017,1,상순,1.961373
201701중순,2017,1,중순,1.6328939999999998
201701하순,2017,1,하순,0.9601090909090909
201702상순,2017,2,상순,1.38201
201702중순,2017,2,중순,1.1621640000000002
201702하순,2017,2,하순,1.14772375
201703상순,2017,3,상순,1.0776759999999999
201703중순,2017,3,중순,0.9457660000000001
201703하순,2017,3,하순,1.029079090909091
201704상순,2017,4,상순,0.9828379999999999
201704중순,2017,4,중순,1.062157
201704하순,2017,4,하순,0.9768040000000001
201705상순,2017,5,상순,1.0337049999999999
201705중순,2017,5,중순,1.066467
201705하순,2017,5,하순,1.3206418181818183
201706상순,2017,6,상순,1.6320329999999998
201706중순,2017,6,중순,1.816531
201706하순,2017,6,하순,1.639792
201707상순,2017,7,상순,1.540646
201707중순,2017,7,중순,2.263983
201707하순,2017,7,하순,3.305139090909091
201708상순,2017,8,상순,3.741697
201708중순,2017,8,중순,4.376234999999999
201708하순,2017,8,하순,6.362612727272728
201709상순,2017,9,상순,7.01353
201709중순,2017,9,중순,7.37908
201709하순,2017,9,하순,5.024568
201710상순,2017,10,상순,3.676173
201710중순,2017,10,중순,4.943524999999999
201710하순,2017,10,하순,5.976213636363636
201711상순,2017,11,상순,11.705314
201711중순,2017,11,중순,14.740921
201711하순,2017,11,하순,9.994824
201712상순,2017,12,상순,4.501246
201712중순,2017,12,중순,2.285537
201712하순,2017,12,하순,1.1568354545454544
201801상순,2018,1,상순,0.9871489999999999
201801중순,2018,1,중순,1.10009
201801하순,2018,1,하순,1.210130909090909
201802상순,2018,2,상순,1.479433
201802중순,2018,2,중순,0.9388690000000001
201802하순,2018,2,하순,1.17035375
201803상순,2018,3,상순,1.058709
201803중순,2018,3,중순,0.954387
201803하순,2018,3,하순,0.89192
201804상순,2018,4,상순,0.9009360000000001
201804중순,2018,4,중순,0.9199019999999999
201804하순,2018,4,하순,0.85869
201805상순,2018,5,상순,0.975079
201805중순,2018,5,중순,0.945767
201805하순,2018,5,하순,1.0714036363636363
201806상순,2018,6,상순,1.12423
201806중순,2018,6,중순,1.100952
201806하순,2018,6,하순,1.194062
